,Laser power,Scan speed,Line spacing,Layer thickness,STMPS-Width
0,250.0,800.0,0.091,0.04,145.29865616181598
1,250.0,400.0,0.11099999999999999,0.020000000000000004,169.85822220098044
2,450.0,1200.0,0.104,0.04,152.72622222222216
3,250.0,600.0,0.123,0.06,143.31022222222225
4,400.0,800.0,0.16199999999999998,0.04,198.99922222222222
5,500.0,600.0,0.15200000000000002,0.08,159.40127778032385
6,250.0,400.0,0.11,0.06,157.25477777777775
7,300.0,1000.0,0.078,0.04,143.31983339999903
8,250.0,600.0,0.05,0.06,143.31022222222225
9,400.0,400.0,0.14600000000000002,0.039999999999999994,195.09055547117836
10,500.0,600.0,0.16099999999999998,0.06,167.54333333333332
11,500.0,1200.0,0.096,0.04,162.7806666666667
12,450.0,1000.0,0.139,0.04,169.28536115
13,450.0,600.0,0.073,0.08,146.9088888888889
14,350.0,400.0,0.185,0.06,178.6087777777778
15,450.0,800.0,0.17700000000000002,0.04,203.35566665
16,500.0,800.0,0.017999999999999988,0.08,143.36777789999996
17,450.0,800.0,0.12899999999999998,0.04,203.35566665
18,350.0,600.0,0.147,0.06,155.08366666666666
19,300.0,400.0,0.167,0.08,182.74527781955877
20,350.0,800.0,0.105,0.04,169.69888888888886
21,500.0,1200.0,0.055999999999999994,0.04,162.78066666666663
22,350.0,600.0,0.155,0.04,192.21855555555555
23,200.0,400.0,0.043,0.08,151.71077777777776
24,500.0,800.0,0.11899999999999997,0.04,207.71211111111103
25,200.0,400.0,0.14,0.04,182.10833333333338
26,500.0,600.0,0.11599999999999996,0.08,159.40127778641036
27,200.0,800.0,0.064,0.04,143.7307779
28,500.0,800.0,0.152,0.04,207.7121111111111
29,500.0,600.0,0.085,0.08,159.4012777936481
30,350.0,400.0,0.161,0.08,155.00344444444443
31,400.0,1400.0,0.102,0.04,154.64877777777778
32,400.0,400.0,0.18900000000000003,0.04,240.65366666666662
33,500.0,1800.0,0.103,0.04,146.54100000000003
34,400.0,400.0,0.205,0.06,226.01022222222224
35,450.0,1000.0,0.132,0.04,169.28536115
36,500.0,800.0,0.128,0.08,143.3677779
37,400.0,400.0,0.125,0.08,194.09055557377923
38,400.0,600.0,0.144,0.06,154.99188888888892
39,300.0,600.0,0.127,0.06,160.69516666979447
40,500.0,1000.0,0.143,0.04,171.20366666666666
41,500.0,1200.0,0.097,0.04,162.78066666666666
42,350.0,400.0,0.17999999999999997,0.04,269.3597777777778
43,250.0,800.0,0.07899999999999999,0.04,146.86916675
44,500.0,600.0,0.18599999999999997,0.06,167.54333333333332
45,400.0,600.0,0.087,0.06,154.9918888888889
46,500.0,600.0,0.113,0.06,167.54333333333332
47,200.0,800.0,0.11599999999999999,0.04,143.7307779
48,350.0,400.0,0.185,0.04,269.3597777777779
49,500.0,600.0,0.183,0.04,208.50361110397662
50,500.0,600.0,0.123,0.08,151.2592222222222
51,400.0,1000.0,0.123,0.04,167.36705555
52,200.0,400.0,0.111,0.04,166.9095555242461
53,250.0,400.0,0.152,0.06,157.25477777777775
54,400.0,600.0,0.13,0.06,180.6761111160504
55,300.0,600.0,0.1,0.06,160.69516667042785
56,250.0,600.0,0.087,0.06,143.31022222222225
57,200.0,400.0,0.129,0.08,151.71077777777774
58,450.0,1000.0,0.104,0.04,169.28536115
59,300.0,400.0,0.07,0.08,157.4081111111111
60,450.0,600.0,0.152,0.06,161.8466666666667
61,250.0,400.0,0.163,0.04,182.461666666667
62,400.0,1400.0,0.101,0.04,154.64877777777778
63,450.0,600.0,0.089,0.08,154.37777778308902
64,400.0,600.0,0.144,0.04,206.36033333333336
65,200.0,600.0,0.08,0.04,165.88617714431504
66,450.0,800.0,0.141,0.04,203.35566665
67,450.0,600.0,0.113,0.06,161.84666666666666
68,400.0,600.0,0.13,0.04,206.36033333333336
69,450.0,600.0,0.14500000000000002,0.04,241.679888888889
70,450.0,600.0,0.19399999999999998,0.06,161.8466666666667
71,400.0,400.0,0.212,0.06,226.01022222222224
72,250.0,600.0,0.067,0.06,143.31022222222228
73,300.0,600.0,0.067,0.06,146.6201111111111
74,450.0,1200.0,0.085,0.04,152.72622222222222
75,250.0,600.0,0.111,0.04,156.0775555570014
77,450.0,1200.0,0.116,0.04,152.7262222222222
78,350.0,1000.0,0.095,0.04,155.343444499999
79,450.0,600.0,0.15900000000000003,0.04,241.679888888889
80,400.0,600.0,0.13000000000000003,0.06,154.9918888888889
81,400.0,600.0,0.159,0.04,206.36033333333336
82,500.0,1600.0,0.093,0.04,144.2247777777778
83,250.0,800.0,0.09599999999999999,0.04,146.86916675
84,350.0,400.0,0.108,0.039999999999999994,157.59199999673567
85,200.0,400.0,0.096,0.0,166.90955546343199
86,200.0,400.0,0.085,0.04,182.10833333333338
87,500.0,1000.0,0.134,0.04,171.2036666666667
88,450.0,1000.0,0.122,0.04,169.28536115
89,450.0,600.0,0.081,0.06,161.8466666666667
90,350.0,400.0,0.16500000000000004,0.04,269.3597777777779
91,350.0,400.0,0.17799999999999996,0.06,169.39466666705806
92,350.0,400.0,0.19,0.06,178.6087777777778
93,350.0,400.0,0.13300000000000003,0.06,169.39466666786532
94,500.0,1600.0,0.08299999999999999,0.04,144.2247777777778
95,350.0,1000.0,0.117,0.04,155.34344449999904
96,300.0,800.0,0.097,0.04,150.00755555555554
97,500.0,800.0,0.147,0.08,175.53994452004198
98,500.0,1800.0,0.06799999999999999,0.04,146.541
99,450.0,600.0,0.129,0.06,161.8466666666667
100,300.0,1000.0,0.093,0.04,143.31983339999903
101,450.0,1200.0,0.135,0.04,152.7262222222222
102,500.0,800.0,0.151,0.04,207.71211111111108
103,500.0,600.0,0.191,0.020000000000000004,208.5036110909667
104,500.0,800.0,0.164,0.04,207.71211111111108
105,400.0,600.0,0.159,0.07999999999999999,180.67611112653404
106,400.0,800.0,0.138,0.04,198.99922222222224
107,500.0,600.0,0.191,0.06,167.54333333333332
108,250.0,600.0,0.099,0.04,156.07755555808927
109,450.0,600.0,0.166,0.08,154.3777777797562
110,500.0,800.0,0.092,0.08,143.3677779
111,350.0,600.0,0.15500000000000003,0.06,155.0836666666667
112,200.0,800.0,0.081,0.04,143.7307779
113,200.0,400.0,0.118,0.04,182.10833333333338
114,450.0,600.0,0.173,0.06,161.8466666666667
115,350.0,400.0,0.163,0.06,169.3946666665688
116,300.0,1000.0,0.108,0.04,143.319833399999
117,350.0,400.0,0.04300000000000001,0.08,155.00344444444443
118,500.0,1200.0,0.117,0.04,162.78066666666666
119,500.0,600.0,0.187,0.06,167.54333333333332
120,350.0,400.0,0.123,0.08,155.00344444444443
121,250.0,400.0,0.055,0.08,154.1232222222222
122,450.0,1000.0,0.116,0.04,169.28536115
123,200.0,400.0,0.057999999999999996,0.08,151.71077777777776
124,400.0,400.0,0.197,0.08,159.1708889
125,250.0,400.0,0.10800000000000001,0.08,154.12322222222224
127,150.0,600.0,0.096,0.04,165.8945383397808
129,350.0,400.0,0.147,0.06,178.6087777777778
130,300.0,600.0,0.109,0.04,174.77022222222223
