,Laser power,Scan speed,Layer thickness,STMPS-Depth
0,250.0,400.0,0.020000000000000004,204.57116669378598
1,500.0,1000.0,0.06,272.582
2,400.0,600.0,0.08,396.6166666666666
3,450.0,800.0,0.08,338.17699999999996
4,350.0,800.0,0.06,222.18999999999997
5,500.0,600.0,0.08,498.12999999999994
6,250.0,400.0,0.06,224.68466666666666
7,450.0,1200.0,0.06,203.46333333333334
8,400.0,400.0,0.06,339.8396666666667
9,500.0,600.0,0.06,402.5973333333333
11,450.0,1000.0,0.04,194.2413333333333
12,450.0,600.0,0.08,427.464
13,350.0,400.0,0.06,333.11333333333334
14,500.0,800.0,0.08,426.13966666666664
15,450.0,1000.0,0.06,254.58166666666668
16,400.0,800.0,0.06,233.2123333333333
17,350.0,600.0,0.06,301.05966666666666
18,300.0,400.0,0.08,417.8966666666667
19,500.0,1000.0,0.08,325.108
21,200.0,400.0,0.08,223.09033333333332
22,500.0,800.0,0.04,215.989
23,450.0,800.0,0.06,248.49466666666663
24,500.0,600.0,0.1,450.363666643175
26,400.0,1000.0,0.06,180.375
30,350.0,400.0,0.08,488.91333333333336
32,350.0,600.0,0.08,340.58233333333334
35,400.0,400.0,0.04,264.69433333333336
42,400.0,400.0,0.08,565.681
43,400.0,600.0,0.06,347.1863333333333
44,500.0,800.0,0.06,290.184
47,300.0,600.0,0.06,242.13566666666665
48,500.0,1000.0,0.04,206.1056666
50,350.0,400.0,0.04,236.8646666666667
58,500.0,600.0,0.04,266.8863333
60,400.0,1000.0,0.04,182.37700000000004
69,450.0,600.0,0.06,382.2706666666666
70,250.0,400.0,0.04,184.45766666666668
73,450.0,600.0,0.04,214.914
79,350.0,800.0,0.08,257.9336666666666
80,400.0,1000.0,0.08,211.544
92,350.0,400.0,0.06,315.186
93,350.0,400.0,0.06,351.0406666666667
97,450.0,1000.0,0.08,283.0253333333333
104,500.0,600.0,0.020000000000000004,334.7418333500382
107,400.0,800.0,0.08,302.711
129,250.0,400.0,0.08,350.361
146,450.0,1000.0,0.1,268.80349999645193
166,450.0,600.0,0.1,404.8673333212817
177,300.0,400.0,0.04,210.6615
183,300.0,400.0,0.0,314.27908383069774
204,300.0,400.0,0.06,315.186
0,250.0,800.0,0.04,68.17666666666666
1,450.0,1200.0,0.04,131.17499999999998
2,250.0,600.0,0.06,163.218
3,400.0,800.0,0.04,151.822416665
4,300.0,1000.0,0.04,102.367
6,300.0,1000.0,0.06,142.27966666666666
7,400.0,1200.0,0.04,145.59966666666665
8,500.0,1400.0,0.04,94.787
9,200.0,400.0,0.06,92.10666666666667
10,500.0,1200.0,0.04,122.11733333333332
11,350.0,1400.0,0.04,63.786
12,450.0,1600.0,0.04,99.14200000000001
13,350.0,800.0,0.04,123.9405
15,350.0,600.0,0.04,128.2600387439325
16,500.0,1200.0,0.06,169.697
17,500.0,2000.0,0.04,136.911
18,300.0,800.0,0.06,168.83133333333333
20,200.0,400.0,0.04,82.94
21,500.0,1600.0,0.06,129.45133333333334
22,250.0,1000.0,0.04,82.91566666666667
23,400.0,1400.0,0.04,70.16666666666667
24,450.0,1400.0,0.06,147.186
25,500.0,1800.0,0.04,92.47566666666665
26,250.0,800.0,0.06,119.19299999999998
27,400.0,2000.0,0.04,75.395
29,450.0,1400.0,0.04,92.20750000000001
30,400.0,2000.0,0.04,121.5385085428556
32,350.0,1000.0,0.06,173.50666666666666
36,500.0,1800.0,0.06,106.15966666666667
42,400.0,1800.0,0.04,65.50033333333333
43,350.0,1200.0,0.06,141.26966666666684
52,500.0,2000.0,0.04,90.76744485923733
56,450.0,1400.0,0.020000000000000004,119.69675000381353
57,350.0,1200.0,0.04,101.171
58,400.0,600.0,0.04,156.26050313951188
59,150.0,600.0,0.04,65.78693677699097
61,500.0,1400.0,0.06,152.958
62,400.0,600.0,0.04,162.94166666666666
66,400.0,1600.0,0.04,76.88866666666667
68,250.0,600.0,0.020000000000000004,114.9740000342561
71,350.0,1000.0,0.04,126.14966666666665
76,350.0,1200.0,0.06,141.26966666666667
78,500.0,1600.0,0.04,114.144
83,400.0,1200.0,0.06,138.23966666666666
89,300.0,800.0,0.04,86.974
95,500.0,1400.0,0.04,123.87250000131608
105,350.0,1600.0,0.04,69.67399999999999
106,300.0,1200.0,0.04,96.85833333333333
108,250.0,600.0,0.04,66.73
112,400.0,1800.0,0.04,70.22781804548391
126,450.0,1800.0,0.04,74.95366666666666
127,200.0,600.0,0.04,64.836
129,300.0,600.0,0.04,106.973
134,250.0,800.0,0.020000000000000004,93.6848333442265
148,450.0,1600.0,0.04,73.27898092307262
149,500.0,1800.0,0.04,99.3176666668627
183,450.0,2000.0,0.04,106.153
191,200.0,600.0,0.04,65.78426416718473
214,300.0,600.0,0.04,156.2854415591989
235,200.0,800.0,0.04,49.37933334
25,450.0,800.0,0.04,179.704333329999
38,350.0,600.0,0.04,149.59133333333332
102,350.0,1200.0,0.06,141.269666666667
319,450.0,1600.0,0.04,99.142
