,Laser power,Scan speed,Layer thickness,STMPS-Height
0,250.0,400.0,0.020000000000000004,88.84649999541821
1,400.0,600.0,0.08,85.6095555566666
2,250.0,600.0,0.06,137.4555
3,350.0,800.0,0.06,92.76400000000001
4,400.0,800.0,0.04,87.85566666666666
5,500.0,600.0,0.08,105.292444443333
6,250.0,400.0,0.06,85.44833333333334
8,500.0,1400.0,0.04,76.3425
9,400.0,400.0,0.06,129.08533333333332
10,500.0,600.0,0.06,105.05066666666669
11,450.0,600.0,0.1,101.57616666993341
12,350.0,400.0,0.06,94.105
13,500.0,800.0,0.08,86.08033333333333
14,400.0,800.0,0.06,92.484
15,350.0,600.0,0.06,118.20433333333334
16,300.0,400.0,0.08,73.597
17,350.0,800.0,0.04,82.21000000000001
18,500.0,1000.0,0.08,125.9885
19,350.0,600.0,0.04,128.96483333110316
20,200.0,400.0,0.08,85.04100000000001
21,300.0,800.0,0.06,92.06366666666668
22,500.0,800.0,0.04,74.832
23,450.0,800.0,0.06,133.049
24,200.0,400.0,0.04,78.00433333333332
26,500.0,1600.0,0.06,84.42133333333334
28,400.0,1000.0,0.06,76.479
30,500.0,600.0,0.08,105.17155555498003
31,350.0,400.0,0.08,81.962
33,350.0,600.0,0.08,75.7681111133333
39,400.0,400.0,0.08,105.84100000000001
40,400.0,600.0,0.06,115.72866666666665
41,500.0,800.0,0.06,85.71999999999998
43,300.0,600.0,0.06,97.11399999999999
45,350.0,400.0,0.04,77.15633333333334
55,500.0,600.0,0.04,143.869
65,450.0,600.0,0.06,107.70133333333332
66,250.0,400.0,0.04,92.24466666666667
67,450.0,600.0,0.08,95.45100000000001
69,400.0,600.0,0.04,116.34466666666667
70,200.0,600.0,0.04,74.785
72,500.0,1400.0,0.06,93.218
74,450.0,600.0,0.04,129.005
79,250.0,600.0,0.020000000000000004,112.84575001747437
82,350.0,1000.0,0.04,73.38133333333333
88,350.0,400.0,0.06,107.554
102,400.0,1000.0,0.08,106.3096703501713
106,500.0,1400.0,0.020000000000000004,84.78025000114539
110,500.0,600.0,0.020000000000000004,124.45983332378785
116,250.0,600.0,0.04,88.23599999999999
133,450.0,1000.0,0.08,86.58033333333333
141,300.0,600.0,0.04,112.78533333333333
174,300.0,400.0,0.04,111.85749999999999
179,300.0,400.0,0.0,92.7272499081748
196,300.0,400.0,0.06,97.29999999051878
197,150.0,600.0,0.04,81.53845859942217
219,350.0,600.0,0.020000000000000004,128.96483332664286
222,350.0,600.0,0.08,96.98622222773086
234,400.0,600.0,0.04,116.03666666660745
245,350.0,400.0,0.06,121.003
0,450.0,800.0,0.08,71.01899999999999
1,300.0,1000.0,0.06,62.04866666666667
2,200.0,400.0,0.06,66.82166666666667
3,450.0,1200.0,0.06,61.76066666666667
5,450.0,1000.0,0.04,58.711666666666666
6,450.0,800.0,0.04,62.92633333333333
7,450.0,1000.0,0.06,57.519
8,350.0,1400.0,0.04,61.495666666666665
10,450.0,1600.0,0.04,58.864
12,500.0,1200.0,0.06,69.841
14,250.0,1000.0,0.04,71.63433333333334
16,450.0,1400.0,0.06,63.684333333333335
17,400.0,400.0,0.04,63.358666666666664
18,500.0,1800.0,0.020000000000000004,66.13216666656074
19,250.0,800.0,0.06,70.99866666666667
25,350.0,1000.0,0.06,57.58233333333334
28,500.0,1800.0,0.06,64.89999999999999
30,350.0,1200.0,0.06,64.64666666666669
42,400.0,1600.0,0.04,70.173
43,350.0,800.0,0.08,59.162
46,350.0,1200.0,0.06,64.64666666666666
47,500.0,1600.0,0.04,64.378
49,400.0,1200.0,0.06,64.06933333333332
55,500.0,1800.0,0.04,67.36433333333333
65,300.0,1600.0,0.04,70.3682035728832
76,350.0,1600.0,0.04,70.36829048062832
87,450.0,1600.0,0.04,64.51970455882272
122,350.0,1600.0,0.04,70.56366666666666
398,400.0,1400.0,0.04,56.383
400,400.0,1000.0,0.08,39.3935
318,450.0,1400.0,0.04,43.932
114,400.0,2000.0,0.04,54.53133333333333
107,200.0,800.0,0.04,41.25633334
2,500.0,1000.0,0.06,55.449000000000005
225,300.0,1200.0,0.04,42.080666666666666
11,300.0,1000.0,0.04,49.47833333333333
226,350.0,1200.0,0.04,49.343333333333334
330,400.0,1800.0,0.04,50.93666666666667
355,300.0,800.0,0.04,49.185
163,400.0,1200.0,0.04,44.36000000000001
269,500.0,2000.0,0.04,47.25333333333333
112,400.0,1000.0,0.04,49.708333333333336
127,450.0,2000.0,0.04,48.439
374,500.0,1000.0,0.04,53.068999999999996
150,450.0,1200.0,0.04,46.702999999999996
0,250.0,800.0,0.04,45.220666666666666
305,400.0,800.0,0.08,56.377
37,500.0,1200.0,0.04,41.778999999999996
437,450.0,1800.0,0.04,30.732
38,350.0,600.0,0.04,139.7253333333333
102,350.0,1200.0,0.06,64.6466666666667
258,250.0,400.0,0.08,72.7275
401,300.0,400.0,0.06,121.003
