,Laser power,Scan speed,Layer thickness,STMPS-Width
0,250.0,800.0,0.04,145.29865616184162
1,250.0,400.0,0.04,182.46166666666667
2,450.0,1200.0,0.04,152.7262222222222
3,250.0,600.0,0.06,143.31022222222225
4,400.0,800.0,0.04,198.99922222222222
5,500.0,600.0,0.08,151.2592222222222
6,250.0,400.0,0.06,157.25477777777775
7,300.0,1000.0,0.04,143.319833399999
9,400.0,400.0,0.06,226.01022222222224
10,500.0,600.0,0.06,167.54333333333332
11,500.0,1200.0,0.04,162.78066666666666
12,450.0,1000.0,0.04,169.28536115
13,450.0,600.0,0.08,146.9088888888889
14,350.0,400.0,0.06,169.39466666666667
15,450.0,800.0,0.04,203.35566665
16,500.0,800.0,0.08,143.3677779
18,350.0,600.0,0.06,155.0836666666667
19,300.0,400.0,0.08,157.4081111111111
20,350.0,800.0,0.04,169.69888888888886
22,350.0,600.0,0.04,173.65111110726295
23,200.0,400.0,0.08,151.71077777777776
24,500.0,800.0,0.04,207.712111111111
25,200.0,400.0,0.04,182.10833333333338
27,200.0,800.0,0.04,143.7307779
28,500.0,800.0,0.04,207.71211111111103
30,350.0,400.0,0.08,155.00344444444443
31,400.0,1400.0,0.04,154.64877777777778
32,400.0,400.0,0.04,240.65366666666665
33,500.0,1800.0,0.04,146.541
37,400.0,400.0,0.08,163.1708889
38,400.0,600.0,0.06,154.9918888888889
39,300.0,600.0,0.06,146.6201111111111
40,500.0,1000.0,0.04,171.20366666666666
42,350.0,400.0,0.04,269.3597777777778
43,250.0,800.0,0.04,146.86916675
49,500.0,600.0,0.04,249.4638888888889
51,400.0,1000.0,0.04,167.36705555
60,450.0,600.0,0.06,161.8466666666667
61,250.0,400.0,0.04,182.46166666666684
64,400.0,600.0,0.04,180.67611110617187
65,200.0,600.0,0.04,162.91955555555555
68,400.0,600.0,0.04,206.36033333333336
69,450.0,600.0,0.04,241.679888888889
75,250.0,600.0,0.04,168.8448889
78,350.0,1000.0,0.04,155.343444499999
82,500.0,1600.0,0.04,144.2247777777778
84,350.0,400.0,0.06,160.18055555555554
96,300.0,800.0,0.04,150.00755555555554
104,500.0,800.0,0.04,207.71211111111108
109,450.0,600.0,0.08,154.3777777791056
115,350.0,400.0,0.06,178.6087777777778
121,250.0,400.0,0.08,154.1232222222222
124,400.0,400.0,0.08,161.6708889
130,300.0,600.0,0.04,174.77022222222223
155,400.0,400.0,0.08,162.1708889
171,300.0,400.0,0.020000000000000004,184.13149997125885
178,300.0,400.0,0.04,208.08244444444446
195,300.0,400.0,0.06,158.79433333277885
197,150.0,600.0,0.04,165.8945383396966
219,350.0,600.0,0.020000000000000004,173.6511110995666
249,400.0,400.0,0.08,161.1708889
0,500.0,1000.0,0.06,125.35933333333332
1,400.0,600.0,0.08,140.718
2,450.0,800.0,0.08,135.6652223
3,350.0,800.0,0.06,116.91855555555556
4,300.0,1000.0,0.06,112.502074099999
5,400.0,1200.0,0.04,135.7348888888889
6,200.0,400.0,0.06,133.64525
7,450.0,1200.0,0.06,112.47177777777777
9,450.0,1000.0,0.06,122.61605555
10,400.0,800.0,0.06,124.83944445
11,350.0,1400.0,0.04,118.34166666666667
12,450.0,1600.0,0.04,122.96611111111113
13,500.0,1000.0,0.08,130.65244444444443
15,500.0,1200.0,0.06,113.7256667
16,500.0,2000.0,0.04,136.146
17,300.0,800.0,0.06,116.3973704
19,450.0,800.0,0.06,132.7603333333333
20,500.0,1600.0,0.06,97.9152221
21,400.0,1000.0,0.06,121.81622225
22,250.0,1000.0,0.04,131.296222299999
26,350.0,600.0,0.08,137.62533645216837
29,450.0,1400.0,0.06,101.69822222222221
30,250.0,800.0,0.06,115.35499999999999
34,400.0,2000.0,0.04,118.38799999999999
36,450.0,1400.0,0.04,137.98577777777777
37,500.0,800.0,0.06,140.68122215
38,450.0,2000.0,0.04,121.08366666666666
41,350.0,600.0,0.08,134.5271111111111
42,350.0,1000.0,0.06,113.4412778
45,500.0,1800.0,0.06,83.52299999999998
53,400.0,1800.0,0.04,113.367
54,350.0,1200.0,0.06,109.964
64,400.0,2000.0,0.04,128.61802059654954
67,450.0,1400.0,0.020000000000000004,119.84199999748293
68,350.0,1200.0,0.04,114.55166666666666
70,500.0,1400.0,0.06,105.8204444
73,350.0,1600.0,0.04,123.83688176958015
76,350.0,800.0,0.08,120.26011111111113
77,400.0,1000.0,0.08,119.6888888
87,400.0,1200.0,0.06,111.217888899999
94,450.0,1000.0,0.08,123.171611
106,400.0,800.0,0.08,127.96266666666666
113,350.0,1600.0,0.04,122.2921667
114,300.0,1200.0,0.04,136.63211111111113
141,450.0,1800.0,0.04,121.42177777777776
146,450.0,1000.0,0.1,122.8938332749307
158,450.0,1600.0,0.04,122.96611111111106
160,500.0,1600.0,0.04,123.8379956064371
161,400.0,1600.0,0.04,123.83725882728038
165,400.0,1800.0,0.04,117.39508591017785
205,450.0,1600.0,0.04,123.83763006160852
218,450.0,1800.0,0.04,117.3936918675999
219,400.0,1600.0,0.04,124.70877777777777
15,500.0,1400.0,0.04,141.81755555555554
38,350.0,600.0,0.04,192.21855555555555
126,250.0,400.0,0.04,182.461666666667
267,400.0,400.0,0.08,159.1708889
317,400.0,400.0,0.08,160.1708889
319,450.0,1600.0,0.04,122.966111111111
401,300.0,400.0,0.06,160.18055555555554
435,400.0,400.0,0.08,164.1708889
